,id,original_title,popularity,release_date
0,135397,Jurassic World,32.985763,6/9/15
1,76341,Mad Max: Fury Road,28.419936,5/13/15
2,262500,Insurgent,13.112507,3/18/15
3,140607,Star Wars: The Force Awakens,11.173103999999999,12/15/15
4,168259,Furious 7,9.335014,4/1/15
5,281957,The Revenant,9.1107,12/25/15
6,87101,Terminator Genisys,8.654359,6/23/15
7,286217,The Martian,7.6674,9/30/15
8,211672,Minions,7.40416499999999,6/17/15
9,150540,Inside Out,6.326804,6/9/15
10,206647,Spectre,6.200282,10/26/15
11,76757,Jupiter Ascending,6.189369,2/4/15
12,264660,Ex Machina,6.118847,1/21/15
13,257344,Pixels,5.984995,7/16/15
14,99861,Avengers: Age of Ultron,5.944927,4/22/15
15,273248,The Hateful Eight,5.8984,12/25/15
16,260346,Taken 3,5.749758,1/1/15
17,102899,Ant-Man,5.5731839999999995,7/14/15
18,150689,Cinderella,5.556818,3/12/15
19,131634,The Hunger Games: Mockingjay - Part 2,5.476958,11/18/15
20,158852,Tomorrowland,5.4621379999999995,5/19/15
21,307081,Southpaw,5.337064,6/15/15
22,254128,San Andreas,4.907832,5/27/15
23,216015,Fifty Shades of Grey,4.71040199999999,2/11/15
24,318846,The Big Short,4.648046,12/11/15
25,177677,Mission: Impossible - Rogue Nation,4.566713,7/23/15
26,214756,Ted 2,4.5645489999999995,6/25/15
27,207703,Kingsman: The Secret Service,4.503789,1/24/15
28,314365,Spotlight,4.062293,11/6/15
29,294254,Maze Runner: The Scorch Trials,3.968891,9/9/15
30,280996,Mr. Holmes,3.927333,6/19/15
31,198184,Chappie,3.899557,3/4/15
32,254470,Pitch Perfect 2,3.877764,5/7/15
33,296098,Bridge of Spies,3.6482099999999997,10/15/15
34,257445,Goosebumps,3.6445410000000003,8/5/15
35,264644,Room,3.557846,10/16/15
36,339527,Solace,3.358321,9/3/15
37,105864,The Good Dinosaur,3.3391349999999997,11/14/15
38,241554,Run All Night,3.23737,3/11/15
39,167073,Brooklyn,3.227329,11/4/15
40,277216,Straight Outta Compton,3.2027189999999996,8/13/15
41,274854,The Last Witch Hunter,3.080505,10/21/15
42,321697,Steve Jobs,3.0795220000000003,10/9/15
43,203801,The Man from U.N.C.L.E.,3.0534209999999997,8/13/15
44,293863,The Age of Adaline,3.025852,4/16/15
45,325348,Hardcore Henry,3.023253,9/12/15
46,228161,Home,2.976436,3/18/15
47,286565,Paper Towns,2.968254,7/9/15
48,265208,Wild Card,2.93234,1/14/15
49,254320,The Lobster,2.8851259999999996,10/8/15
50,258480,Carol,2.883233,11/20/15
51,257211,The Intern,2.8148020000000002,9/24/15
52,253412,Everest,2.7980169999999998,9/10/15
53,274479,Joy,2.793297,12/24/15
54,257088,Point Break,2.6144990000000004,12/3/15
55,295964,Burnt,2.584264,10/2/15
56,238615,Self/less,2.578919,7/10/15
57,210860,Mortdecai,2.575711,1/21/15
58,306819,The Danish Girl,2.557859,11/27/15
59,201088,Blackhat,2.5507470000000003,1/13/15
60,273481,Sicario,2.487849,9/17/15
61,166424,Fantastic Four,2.4870419999999998,8/5/15
62,310131,The Witch,2.46449,3/24/15
63,238713,Spy,2.404473,5/6/15
64,256591,Focus,2.395366,2/25/15
65,249070,Hitman: Agent 47,2.354654,8/20/15
66,205775,In the Heart of the Sea,2.345821,11/20/15
67,334074,Survivor,2.331636,5/21/15
68,312221,Creed,2.3315669999999997,11/25/15
69,271718,Trainwreck,2.31767,7/17/15
70,333352,Eye in the Sky,2.29573,9/11/15
71,276907,Legend,2.28135,9/9/15
72,284289,Beyond the Reach,2.2720439999999997,4/17/15
73,266647,Pan,2.234573,9/24/15
74,347096,Mythica: The Darkspore,2.165433,6/24/15
75,308369,Me and Earl and the Dying Girl,2.141506,6/12/15
76,227973,The Peanuts Movie,2.140199,11/5/15
77,321741,Concussion,2.121884,11/12/15
78,296100,The Night Before,2.096273,11/20/15
79,263472,Knock Knock,2.0809349999999998,6/26/15
80,228205,The Longest Ride,2.070708,4/9/15
81,159824,Hotel Transylvania 2,2.060162,9/21/15
82,333348,Love the Coopers,2.055572,11/12/15
83,285783,The Walk,2.049886,9/30/15
84,290764,Tracers,2.0266509999999998,1/15/15
85,296099,Vacation,2.000338,7/28/15
86,243688,Poltergeist,1.984529,5/20/15
87,287424,Maggie,1.9800389999999999,5/8/15
88,301875,Equals,1.9597650000000002,9/4/15
89,181283,Child 44,1.95632,3/15/15
90,328425,The Gift,1.926739,7/30/15
91,274167,Daddy's Home,1.904898,12/25/15
92,370687,Mythica: The Necromancer,1.876037,12/19/15
93,307663,Vice,1.872696,1/16/15
94,309809,The Little Prince,1.865007,7/29/15
95,258509,Alvin and the Chipmunks: The Road Chip,1.841779,12/17/15
96,298382,The Dressmaker,1.82313,10/1/15
97,272693,The DUFF,1.758618,2/20/15
98,283445,Sinister 2,1.742286,8/19/15
99,256961,Paul Blart: Mall Cop 2,1.73518,4/16/15
100,326359,Frozen Fever,1.7247119999999898,3/9/15
101,254302,High-Rise,1.661789,9/26/15
102,241251,The Boy Next Door,1.6510779999999898,1/23/15
103,292040,Spooks: The Greater Good,1.646664,4/11/15
104,188222,Entourage,1.532997,6/3/15
105,252838,The Wedding Ringer,1.5100959999999999,1/16/15
106,273477,Scouts Guide to the Zombie Apocalypse,1.499614,10/23/15
107,298312,The Visit,1.495112,9/10/15
108,261023,Black Mass,1.4832459999999899,9/4/15
109,336004,Heist,1.449072,11/13/15
110,287903,Krampus,1.448002,11/26/15
111,182560,Dark Places,1.443406,3/31/15
112,192141,No Escape,1.41239,8/26/15
113,308639,Dope,1.40805,6/19/15
114,261392,American Ultra,1.3882510000000001,8/19/15
115,304357,Woman in Gold,1.388032,4/10/15
116,297291,The Scorpion King: The Lost Throne,1.38032,1/9/15
117,266294,Sisters,1.3766049999999999,12/18/15
118,227719,Project Almanac,1.360926,1/30/15
119,86828,Absolutely Anything,1.360827,6/26/15
120,287948,The Transporter Refueled,1.3558219999999999,9/3/15
121,201085,Crimson Peak,1.345982,10/13/15
122,277355,Everly,1.342839,1/23/15
123,264999,Magic Mike XXL,1.338481,7/1/15
124,146301,Paranormal Activity: The Ghost Dimension,1.338322,10/21/15
125,223485,Slow West,1.329702,4/16/15
126,294016,Trumbo,1.316239,10/27/15
127,290751,Secret in Their Eyes,1.315266,10/14/15
128,309245,Mistress America,1.29314,8/14/15
129,228165,The SpongeBob Movie: Sponge Out of Water,1.291013,2/5/15
130,245706,True Story,1.284541,4/17/15
131,272878,Max,1.278928,6/26/15
132,263109,Shaun the Sheep Movie,1.25358,2/5/15
133,157827,Louder Than Bombs,1.251681,5/18/15
134,321751,A Perfect Day,1.2452239999999999,8/28/15
135,266396,The Gunman,1.225325,2/16/15
136,277685,Unfriended,1.191138,4/17/15
137,268920,Hot Pursuit,1.178831,5/8/15
138,280092,Insidious: Chapter 3,1.1647239999999999,6/4/15
139,193687,Z for Zachariah,1.161812,8/13/15
140,300803,Dragonheart 3: The Sorcerer's Curse,1.144808,2/24/15
141,328589,The Lady in the Van,1.142518,11/13/15
142,228066,Victor Frankenstein,1.138395,11/10/15
143,378373,Brothers of the Wind,1.128081,12/24/15
144,291270,Anomalisa,1.1252389999999999,12/30/15
145,294963,Bone Tomahawk,1.0733489999999999,10/23/15
146,241257,Regression,1.065888,10/1/15
147,245698,Pawn Sacrifice,1.0630549999999999,9/16/15
148,353326,The Man Who Knew Infinity,1.046518,9/17/15
149,346808,Momentum,1.041922,8/1/15
150,250124,The Diary of a Teenage Girl,1.03839,8/7/15
151,290637,Pay the Ghost,1.036825,9/16/15
152,244458,The Voices,1.02762,2/6/15
153,308504,Last Knights,1.021441,4/3/15
154,314405,Il racconto dei racconti,1.0084739999999999,5/14/15
155,282984,Irrational Man,1.0070540000000001,7/17/15
156,157843,Queen of the Desert,0.973316,9/3/15
157,275601,Ricki and the Flash,0.956096,7/10/15
158,290762,Miss You Already,0.9536469999999999,9/12/15
159,251516,Kung Fury,0.953046,5/28/15
160,304372,The Perfect Guy,0.950793,9/11/15
161,324807,A Bigger Splash,0.9384319999999999,11/26/15
162,252512,While We're Young,0.9376200000000001,3/27/15
163,257091,Get Hard,0.9273389999999999,3/26/15
164,228968,Kidnapping Mr. Heineken,0.91704,3/12/15
165,347969,The Ridiculous 6,0.913085,12/11/15
166,237756,Kill Me Three Times,0.90686,4/10/15
167,293646,The 33,0.9060360000000001,8/6/15
168,245168,Suffragette,0.898295999999999,10/16/15
169,311291,45 Years,0.8944770000000001,8/28/15
170,301351,We Are Your Friends,0.880937999999999,8/26/15
171,248574,Barely Lethal,0.880268,4/30/15
172,225728,Macbeth,0.874641,8/16/15
173,326425,Extraction,0.872149,12/18/15
174,342474,Jenny's Wedding,0.8611790000000001,7/31/15
175,277217,Descendants,0.848748,7/31/15
176,207936,Tumbledown,0.843174,4/18/15
177,250734,Far from the Madding Crowd,0.842202,5/1/15
178,249688,The End of the Tour,0.8369409999999989,7/31/15
179,268238,The Second Best Exotic Marigold Hotel,0.8324870000000001,2/26/15
180,256962,Little Boy,0.829111,4/23/15
181,322456,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,0.821443,2/10/15
182,302528,Remember,0.820691,10/23/15
183,222936,Aloha,0.814206,5/27/15
184,316002,Accidental Love,0.813893,2/10/15
185,365806,Halo: The Fall of Reach,0.810667,10/27/15
186,10317,Our Brand Is Crisis,0.795762,9/11/15
187,334538,Into the Forest,0.792471,6/3/15
188,306947,The Invitation,0.7879689999999989,3/13/15
189,328901,The Benefactor,0.781809,4/17/15
190,382517,Open Season: Scared Silly,0.7739090000000001,12/31/15
191,310133,Cop Car,0.77107,8/7/15
192,237584,Mojave,0.768138,4/18/15
193,288036,Sleeping with Other People,0.758133,6/26/15
194,354110,Forsaken,0.747541,9/16/15
195,331781,Amy,0.738404,7/3/15
196,253161,Madame Bovary,0.7299,6/4/15
197,312831,The Hallow,0.719407,11/6/15
198,316322,Barbie in Princess Power,0.7141310000000001,1/29/15
199,301846,Howl,0.7073550000000001,10/1/15
200,306745,Freeheld,0.706023,10/2/15
201,332340,Man Up,0.7013699999999989,5/29/15
202,292431,Love,0.699932,7/6/15
203,300693,Truth,0.69957,9/12/15
204,333381,Return to Sender,0.696184,5/31/15
205,256924,Danny Collins,0.690479,3/20/15
206,253414,Rock the Kasbah,0.6895789999999989,10/22/15
207,254172,Fathers and Daughters,0.689571,10/1/15
208,320588,"Hello, My Name Is Doris",0.6737920000000001,11/27/15
209,157544,The Vatican Tapes,0.669351,7/24/15
210,283235,99 Homes,0.661471,9/25/15
211,243938,Hot Tub Time Machine 2,0.6611630000000001,2/20/15
212,86835,Knight of Cups,0.654335,9/10/15
213,254905,Manglehorn,0.654046,6/3/15
214,309242,Mississippi Grind,0.649628,7/4/15
215,332502,400 Days,0.644786,10/29/15
216,286192,Lava,0.640151,6/19/15
217,284674,Air,0.638556999999999,8/14/15
218,360055,Riot,0.633608,9/27/15
219,352179,Septembers of Shiraz,0.629560999999999,9/15/15
220,246127,Every Thing Will Be Fine,0.607124,4/2/15
221,338676,Extinction,0.606113,8/7/15
222,330982,The Childhood of a Leader,0.604928,9/2/15
223,232572,A Walk in the Woods,0.602165,9/2/15
224,112454,Clown,0.599751,3/2/15
225,243940,The Lazarus Effect,0.599655,1/29/15
226,321528,Batman vs. Robin,0.589472,4/14/15
227,317744,Careful What You Wish For,0.586735,5/6/15
228,300792,Racing Extinction,0.584363,1/24/15
229,239573,Unfinished Business,0.577814,3/5/15
230,167810,Lost River,0.570743999999999,4/8/15
231,319075,Cobain: Montage of Heck,0.569443,3/23/15
232,316042,Hyena Road,0.561032,10/9/15
233,334527,Criminal Activities,0.560743999999999,11/20/15
234,300153,Life,0.560423,7/24/15
235,228203,"McFarland, USA",0.553238,2/20/15
236,332704,Backtrack,0.5485869999999989,7/25/15
237,278236,X+Y,0.5478270000000001,3/13/15
238,276839,Home Sweet Hell,0.546458,3/13/15
239,326215,Ooops! Noah is Gone...,0.542568,4/9/15
240,363689,The Unspoken,0.5327,10/24/15
241,318256,Hot Girls Wanted,0.532239,5/29/15
242,299245,The Gallows,0.532205,7/10/15
243,333344,Dirty Weekend,0.52985,9/4/15
244,357096,I Spit on Your Grave III: Vengeance is Mine,0.527957,10/9/15
245,309299,Experimenter,0.526642,10/16/15
246,314385,By the Sea,0.524315,11/12/15
247,333596,Woodlawn,0.52025,10/16/15
248,361042,The Hollow,0.516954,10/24/15
249,353686,Visions,0.515401,8/28/15
250,318954,Beyond the Mask,0.514735,4/6/15
251,289191,I Am Here,0.513386,6/12/15
252,324333,Wild Horses,0.50732,6/5/15
253,252164,Pressure,0.5048279999999989,6/4/15
254,360784,Hidden,0.5024890000000001,9/15/15
255,336313,Hell & Back,0.49726499999999996,10/2/15
